City Name,City Number,Cloudiness,Humidity,Latitude,Temperature,URL,Windspeed
Mopipi,200,92,98,-21.2,65.52,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=mopipi,bw",15.39
Cayenne,200,75,94,4.94,75.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=cayenne,gf",5.82
Cidreira,200,44,85,-30.17,71.28,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=cidreira,br",9.8
Ushuaia,200,40,50,-54.81,55.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ushuaia,ar",9.17
Amapa,200,88,94,-1.83,75.24,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=amapa,br",2.64
Mumford,200,48,95,5.26,77.13,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=mumford,gh",6.67
Arraial do Cabo,200,80,94,-22.97,76.63,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=arraial do cabo,br",6.22
Torbay,200,20,78,47.66,14.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=torbay,ca",9.17
New Norfolk,200,40,40,-42.78,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=new norfolk,au",5.82
Touros,200,0,98,-5.2,75.73,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=touros,br",5.44
Albany,200,20,74,-35.02,68.44,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=albany,au",11.25
Chilca,200,75,62,-13.22,55.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=chilca,pe",3.36
Kilindoni,200,0,100,-7.91,81.58,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=kilindoni,tz",6.89
Cocobeach,200,75,88,1.01,78.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=cocobeach,ga",3.36
Kassala,200,0,67,15.45,58.68,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=kassala,sd",2.75
San-Pedro,200,80,84,4.75,77.58,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=san-pedro,ci",7.78
Maceio,200,40,83,-9.67,75.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=maceio,br",6.93
Port-Gentil,200,92,100,-0.72,75.15,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=port-gentil,ga",8.12
Fomboni,200,12,100,-12.28,82.66,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=fomboni,km",5.99
Coquimbo,200,0,87,-29.95,59.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=coquimbo,cl",6.22
Itarema,200,92,100,-2.92,74.56,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=itarema,br",2.42
Monrovia,200,20,87,6.33,74.97,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=monrovia,lr",3.76
San Cristobal,200,64,100,-1.02,59.94,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=san cristobal,ec",1.86
Ribeira Grande,200,92,100,38.52,58.81,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ribeira grande,pt",31.5
Namibe,200,0,100,-15.19,75.69,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=namibe,ao",3.76
Lagoa,200,75,100,37.14,53.6,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=lagoa,pt",11.41
Grindavik,200,75,93,63.84,44.6,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=grindavik,is",32.21
Lebu,200,56,94,-37.62,60.16,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=lebu,cl",11.92
Hilo,200,90,88,19.71,64.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hilo,us",3.36
Kangaba,200,64,66,11.94,77.53,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=kangaba,ml",2.75
Evinayong,200,92,99,1.44,69.3,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=evinayong,gq",2.75
Kodiak,200,1,82,39.95,32.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=kodiak,us",6.22
Ayna,200,12,94,-12.72,57.33,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ayna,pe",0.74
Arraial do Cabo,200,80,94,-22.97,76.63,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=arraial do cabo,br",6.22
Saldanha,200,0,58,-33.01,59.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=saldanha,za",5.82
Masingbi,200,68,88,8.64,70.78,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=masingbi,sl",6.55
Luderitz,200,0,72,-26.65,60.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=luderitz,na",12.75
Ushuaia,200,40,50,-54.81,55.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ushuaia,ar",9.17
Ponta do Sol,200,12,100,17.2,68.22,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ponta do sol,cv",11.81
Hilo,200,90,88,19.71,64.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hilo,us",3.36
Taltal,200,0,100,-25.41,52.78,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=taltal,cl",1.63
Maragogi,200,100,100,-9.01,75.19,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=maragogi,br",5.66
Narsaq,200,5,53,60.91,-2.21,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=narsaq,gl",2.24
Jamestown,200,88,100,-15.94,73.35,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=jamestown,sh",13.27
Cabo San Lucas,200,5,63,22.89,65.41,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=cabo san lucas,mx",8.05
New Norfolk,200,40,40,-42.78,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=new norfolk,au",5.82
Kuito,200,44,78,-12.38,61.47,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=kuito,ao",12.48
Georgetown,200,92,100,-7.93,77.94,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=georgetown,sh",14.38
Harper,200,64,95,4.38,81.04,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=harper,lr",10.69
Albany,200,20,74,-35.02,68.44,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=albany,au",11.25
Jamestown,200,88,100,-15.94,73.35,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=jamestown,sh",13.27
Rikitea,200,24,100,-23.12,79.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=rikitea,pf",10.69
Khartoum,200,0,13,15.59,77.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=khartoum,sd",11.41
Amapa,200,88,94,-1.83,75.24,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=amapa,br",2.64
Siena,200,75,58,43.32,28.08,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=siena,it",4.7
Owo,200,68,97,7.2,71.1,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=owo,ng",3.09
Banikoara,200,48,85,11.3,72.04,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=banikoara,bj",6.67
Port Hedland,200,0,59,-20.31,91.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=port hedland,au",13.87
Vuktyl,200,0,37,63.86,-24.49,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=vuktyl,ru",2.53
Rikitea,200,24,100,-23.12,79.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=rikitea,pf",10.69
Diffa,200,0,48,13.32,72.09,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=diffa,ne",5.1
Jamestown,200,88,100,-15.94,73.35,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=jamestown,sh",13.27
Maraa,200,44,92,-1.83,77.76,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=maraa,br",2.75
Coihueco,200,0,68,-36.63,66.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=coihueco,cl",3.36
Carnarvon,200,36,95,-24.87,76.23,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=carnarvon,au",15.39
Road Town,200,90,88,18.42,73.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=road town,vg",14.99
Victoria,200,75,78,-4.62,82.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=victoria,sc",5.82
Constitucion,200,40,23,23.99,64.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=constitucion,mx",16.11
Seoul,200,8,51,37.57,38.43,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=seoul,kr",4.7
Lamar,200,1,23,38.09,24.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=lamar,us",6.93
San-Pedro,200,80,84,4.75,77.58,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=san-pedro,ci",7.78
Touros,200,0,98,-5.2,75.73,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=touros,br",5.44
Lebu,200,56,94,-37.62,60.16,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=lebu,cl",11.92
Ribeira Grande,200,92,100,38.52,58.81,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ribeira grande,pt",31.5
Soyo,200,92,96,-6.13,76.14,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=soyo,ao",1.41
Sao Miguel do Araguaia,200,80,93,-13.28,74.74,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=sao miguel do araguaia,br",2.86
Waddan,200,0,82,29.16,52.29,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=waddan,ly",8.79
Hilo,200,90,88,19.71,64.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hilo,us",3.36
Nokaneng,200,88,99,-19.66,65.61,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=nokaneng,bw",10.25
Hualmay,200,88,89,-11.1,66.78,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hualmay,pe",4.21
Bhadohi,200,0,90,25.39,68.08,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bhadohi,in",4.76
Axim,200,92,99,4.87,80.59,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=axim,gh",9.46
Nivala,200,68,84,63.93,14.85,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=nivala,fi",7.0
Half Moon Bay,200,75,62,37.46,52.48,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=half moon bay,us",16.11
Atuona,200,32,96,-9.8,82.62,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=atuona,pf",13.6
Belmonte,200,88,93,-26.84,68.89,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=belmonte,br",2.86
Torbay,200,20,78,47.66,14.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=torbay,ca",9.17
Geraldton,200,75,88,-28.77,71.6,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=geraldton,au",12.75
Georgetown,200,92,100,-7.93,77.94,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=georgetown,sh",14.38
Soubre,200,64,88,5.79,74.74,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=soubre,ci",3.87
Souillac,200,40,94,-20.52,77.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=souillac,mu",6.22
Bama,200,0,56,11.52,70.78,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bama,ng",3.53
Bathsheba,200,20,73,13.22,75.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bathsheba,bb",16.11
Tongren,200,32,89,27.72,52.29,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=tongren,cn",3.65
Deori,200,0,64,23.12,70.51,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=deori,in",4.43
Mahebourg,200,40,94,-20.41,77.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=mahebourg,mu",6.22
Hithadhoo,200,36,100,-0.6,83.83,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hithadhoo,mv",4.09
Bergen,200,40,92,52.81,20.35,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bergen,de",5.82
Port-Gentil,200,92,100,-0.72,75.15,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=port-gentil,ga",8.12
Ladario,200,32,89,-19.0,76.18,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=ladario,br",2.64
Adeje,200,40,67,28.12,57.09,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=adeje,es",11.41
Takoradi,200,80,100,4.89,79.02,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=takoradi,gh",6.22
Georgetown,200,92,100,-7.93,77.94,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=georgetown,sh",14.38
Hambantota,200,8,100,6.12,80.82,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hambantota,lk",10.58
Basoko,200,80,95,1.23,73.44,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=basoko,cd",2.64
Robertsport,200,8,100,6.75,77.89,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=robertsport,lr",11.81
Rikitea,200,24,100,-23.12,79.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=rikitea,pf",10.69
Hithadhoo,200,36,100,-0.6,83.83,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hithadhoo,mv",4.09
Machali,200,0,78,-34.18,55.26,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=machali,cl",1.74
Harper,200,64,95,4.38,81.04,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=harper,lr",10.69
Les Cayes,200,44,100,18.19,75.73,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=les cayes,ht",5.44
Tuktoyaktuk,200,90,84,69.44,3.92,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=tuktoyaktuk,ca",28.86
Sao Filipe,200,0,100,14.9,67.09,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=sao filipe,cv",3.87
New Norfolk,200,40,40,-42.78,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=new norfolk,au",5.82
Taltal,200,0,100,-25.41,52.78,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=taltal,cl",1.63
Hamilton,200,20,82,32.3,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=hamilton,bm",9.17
Sao Joao da Barra,200,92,100,-21.64,77.22,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=sao joao da barra,br",11.48
Muros,200,0,83,42.77,42.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=muros,es",6.93
Takoradi,200,80,100,4.89,79.02,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=takoradi,gh",6.22
Bagdarin,200,56,63,54.44,-2.66,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bagdarin,ru",2.98
Lebu,200,56,94,-37.62,60.16,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=lebu,cl",11.92
Amalapuram,200,0,50,16.58,76.41,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=amalapuram,in",4.76
Bauchi,200,88,49,10.31,77.22,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=bauchi,ng",2.86
New Norfolk,200,40,40,-42.78,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=new norfolk,au",5.82
Prince Rupert,200,75,86,54.32,39.2,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=prince rupert,ca",9.17
Mumford,200,48,95,5.26,77.13,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=mumford,gh",6.67
Luderitz,200,0,72,-26.65,60.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=luderitz,na",12.75
Carnarvon,200,36,95,-24.87,76.23,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=carnarvon,au",15.39
Port Lincoln,200,0,76,-34.72,71.28,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=port lincoln,au",10.47
Victoria,200,75,78,-4.62,82.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=victoria,sc",5.82
Wote,200,0,93,-1.78,61.06,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=wote,ke",0.74
Quelimane,200,75,94,-17.88,78.8,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=quelimane,mz",5.82
Victoria,200,75,78,-4.62,82.4,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=victoria,sc",5.82
Saint George,200,20,82,32.38,68.0,"http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&units=imperial&q=saint george,bm",9.17
